entry1	entry2	type
00062_40	00062_41	ECrel
00062_39	00062_40	ECrel
00062_38	00062_39	ECrel
00062_37	00062_38	ECrel
00062_36	00062_37	ECrel
00062_35	00062_36	ECrel
00062_34	00062_35	ECrel
00062_33	00062_34	ECrel
00062_32	00062_33	ECrel
00062_31	00062_32	ECrel
00062_30	00062_31	ECrel
00062_29	00062_30	ECrel
00062_122	00062_121	ECrel
00062_122	00062_133	ECrel
00062_121	00062_120	ECrel
00062_133	00062_120	ECrel
00062_120	00062_132	ECrel
00062_132	00062_137	ECrel
00062_137	00062_136	maplink
00062_113	00062_115	ECrel
00062_115	00062_114	ECrel
00062_114	00062_140	maplink
00062_114	00062_141	ECrel
00062_140	00062_141	maplink
00071_195	00071_41	ECrel
00071_41	00071_42	ECrel
00071_40	00071_42	ECrel
00071_42	00071_44	ECrel
00071_42	00071_81	ECrel
00071_40	00071_81	ECrel
00071_44	00071_81	ECrel
00071_48	00071_50	ECrel
00071_48	00071_54	ECrel
00071_49	00071_54	ECrel
00071_50	00071_51	ECrel
00071_51	00071_54	ECrel
00071_51	00071_52	ECrel
00071_51	00071_56	ECrel
00071_51	00071_53	ECrel
00071_107	00071_203	ECrel
00071_103	00071_203	ECrel
00071_205	00071_98	ECrel
00071_79	00071_205	ECrel
00071_44	00071_48	ECrel
00071_44	00071_49	ECrel
00071_40	00071_48	ECrel
00071_40	00071_49	ECrel
00071_49	00071_50	ECrel
00071_56	00071_57	ECrel
00071_52	00071_57	ECrel
00071_53	00071_57	ECrel
00071_57	00071_58	ECrel
00071_57	00071_61	ECrel
00071_59	00071_61	ECrel
00071_58	00071_59	ECrel
00071_59	00071_60	ECrel
00071_59	00071_63	ECrel
00071_63	00071_64	ECrel
00071_60	00071_64	ECrel
00071_64	00071_65	ECrel
00071_64	00071_69	ECrel
00071_66	00071_69	ECrel
00071_65	00071_66	ECrel
00071_66	00071_67	ECrel
00071_66	00071_68	ECrel
00071_68	00071_74	ECrel
00071_67	00071_74	ECrel
00071_74	00071_75	ECrel
00071_74	00071_83	ECrel
00071_76	00071_83	ECrel
00071_75	00071_76	ECrel
00071_76	00071_77	ECrel
00071_76	00071_85	ECrel
00071_85	00071_89	ECrel
00071_77	00071_89	ECrel
00071_89	00071_92	ECrel
00071_89	00071_95	ECrel
00071_90	00071_95	ECrel
00071_90	00071_92	ECrel
00071_90	00071_91	ECrel
00071_90	00071_97	ECrel
00071_97	00071_100	ECrel
00071_91	00071_100	ECrel
00071_100	00071_101	ECrel
00071_100	00071_105	ECrel
00071_102	00071_105	ECrel
00071_101	00071_102	ECrel
00071_102	00071_103	ECrel
00071_102	00071_107	ECrel
00071_42	00071_110	ECrel
00071_81	00071_110	ECrel
00071_42	00071_39	ECrel
00071_81	00071_39	ECrel
00071_48	00071_39	ECrel
00071_49	00071_39	ECrel
00071_48	00071_110	ECrel
00071_49	00071_110	ECrel
00071_51	00071_111	ECrel
00071_51	00071_38	ECrel
00071_59	00071_112	ECrel
00071_57	00071_38	ECrel
00071_57	00071_111	ECrel
00071_64	00071_112	ECrel
00071_66	00071_113	ECrel
00071_74	00071_113	ECrel
00071_76	00071_114	ECrel
00071_89	00071_114	ECrel
00071_100	00071_115	ECrel
00071_90	00071_115	ECrel
00071_102	00071_116	ECrel
00071_203	00071_116	ECrel
00071_195	00071_43	maplink
00071_104	00071_86	maplink
00071_104	00071_87	maplink
00071_104	00071_88	maplink
00071_41	00071_43	maplink
00071_86	00071_87	maplink
00071_86	00071_88	maplink
00071_87	00071_88	maplink
00071_78	00071_73	maplink
00071_78	00071_195	maplink
00071_78	00071_48	maplink
00071_78	00071_49	maplink
00071_78	00071_57	maplink
00071_78	00071_64	maplink
00071_78	00071_74	maplink
00071_78	00071_89	maplink
00071_78	00071_100	maplink
00071_73	00071_195	maplink
00071_73	00071_48	maplink
